50,14.45,13.53,13.08,"12,27","11,5","11,17","11,27","11,04",13.16,14.47,16.4,19.06,21.03,,
51,14.36,13.46,13.01,"12,21",11.45,"11,12","11,22",10.59,13.11,14.4,16.29,18.52,20.5,,
52,14.27,13.38,12.54,"12,15",11.39,"11,07","11,17",10.55,13.04,14.32,16.18,18.38,20.37,,
53,14.19,13.31,12.48,"12,09",11.34,"11,02","11,12","10,5",12.59,14.25,16.1,18.28,20.24,,
54,14.11,13.24,12.41,"12,03","11,28",10.57,"11,07",10.45,12.53,14.17,16,18.14,20.12,,
55,14.03,13.16,12.35,11.57,"11,23",10.52,"11,02",10.41,12.46,14.09,15.52,18.04,20,,
56,13.55,13.09,"12,28",11.51,"11,18",10.47,10.57,10.36,12.41,14.03,15.42,17.51,19.48,,
57,13.48,13.03,"12,22",11.46,"11,13",10.43,10.52,10.32,12.35,13.55,15.33,17.39,19.36,,
58,13.4,12.56,"12,16","11,4","11,08",10.38,10.47,"10,27","12,28",13.48,15.25,17.3,19.25,,
59,13.33,12.49,"12,1",11.35,"11,03",10.34,10.43,"10,23","12,24",13.42,15.16,17.17,19.14,,
60,13.25,12.43,"12,04","11,3",10.58,"10,29",10.38,"10,19","12,18",13.34,15.09,17.09,19.03,,
61,13.18,12.36,11.59,"11,24",10.53,"10,25",10.34,"10,14","12,13",13.29,15,16.57,18.52,,
62,13.11,"12,3",11.53,"11,19",10.49,"10,21","10,29","10,1","12,07",13.22,14.51,16.46,18.41,,
63,13.04,"12,24",11.47,"11,14",10.44,"10,16","10,25","10,06","12,01",13.15,14.45,16.37,18.31,,
64,12.58,"12,18",11.42,"11,09",10.39,"10,12","10,21","10,02",11.57,13.09,14.36,16.26,18.21,,
65,12.51,"12,12",11.36,"11,04",10.35,"10,08","10,16",9.58,11.51,13.03,14.27,16.16,18.11,,
66,12.44,"12,06",11.31,10.59,"10,3","10,04","10,12",9.54,11.47,12.58,14.21,16.08,18.01,,
67,12.38,12,"11,26",10.55,"10,26",10,"10,08","9,5",11.42,12.51,14.13,15.57,17.51,,
68,12.32,11.54,"11,21","10,5","10,22",9.56,"10,04",9.46,11.36,12.44,14.07,15.5,17.42,,
69,"12,25",11.49,"11,15",10.45,"10,17",9.52,10,9.43,11.32,12.39,13.59,15.4,17.33,,
70,"12,19",11.43,"11,1",10.41,"10,13",9.48,9.56,9.39,"11,27",12.33,13.51,15.3,17.23,,
71,"12,13",11.38,"11,05",10.36,"10,09",9.44,9.52,9.35,"11,23","12,28",13.46,15.23,17.14,,
72,"12,07",11.32,"11,01",10.32,"10,05",9.41,9.48,9.31,"11,18","12,22",13.38,15.14,17.06,,
73,"12,01","11,27",10.56,"10,27","10,01",9.37,9.44,"9,28","11,13","12,16",13.31,15.05,16.57,,
74,11.56,"11,22",10.51,"10,23",9.57,9.33,9.41,"9,24","11,09","12,12",13.25,14.58,16.48,,
75,"11,5","11,17",10.46,"10,19",9.53,"9,3",9.36,"9,21","11,04","12,06",13.18,14.49,16.4,,
76,11.45,"11,12",10.42,"10,14",9.49,"9,26",9.31,"9,17","11,01","12,01",13.13,14.42,16.32,,
77,11.39,"11,07",10.37,"10,1",9.45,"9,22","9,27","9,14",10.56,11.56,13.06,14.34,16.24,,
