34,12.58,"12,15","11,26","11,1",10.49,"10,26","10,08",9.53,9.38,9.31,"9,25","9,18","9,16","9,14",10.37,10.53,"11,21","12,15",13.34,,
35,12.46,"12,07","11,19","11,04","10,4","10,18","10,03",9.45,9.34,"9,27","9,2","9,12","9,1","9,08",10.33,10.49,"11,16","12,11",13.27,,
36,12.38,11.56,"11,13",10.58,10.34,"10,13",9.58,9.41,"9,29","9,22","9,16","9,08","9,05","9,03","10,29",10.46,"11,11","12,07",13.2,,
37,"12,3",11.49,"11,07",10.52,"10,29","10,08",9.53,9.36,"9,25","9,18","9,12","9,03","9,01",8.59,"10,26",10.43,"11,07","12,02",13.13,,
38,"12,22",11.42,"11,01",10.46,"10,23","10,03",9.48,9.31,"9,2","9,12","9,08",8.59,8.57,8.55,"10,23","10,4","11,02",11.53,13.07,,
39,"12,15",11.36,10.55,"10,4","10,18",9.58,9.43,"9,27","9,16","9,08","9,03",8.55,8.53,8.51,"10,18",10.37,10.58,11.49,13,,
40,"12,07","11,29",10.49,10.34,"10,13",9.53,9.38,"9,22","9,12","9,03",8.59,8.51,8.49,8.47,"10,15",10.33,10.53,11.44,12.54,,
41,12,"11,22",10.43,"10,29","10,08",9.48,9.34,"9,18","9,08",8.59,8.55,8.47,8.46,8.44,"10,08","10,29",10.49,11.34,12.34,,
42,11.49,"11,16",10.37,"10,23","10,03",9.43,"9,29","9,12","9,03",8.55,8.51,8.42,"8,4",8.38,"10,04","10,26",10.44,"11,29","12,26",,
43,11.42,"11,1",10.32,"10,18",9.58,9.38,"9,22","9,08",8.59,8.51,8.46,8.38,8.36,8.34,10,"10,22","10,4","11,26","12,18",,
44,11.36,"11,01","10,26","10,13",9.53,9.34,"9,18","9,03",8.55,8.47,8.42,8.34,8.32,"8,31",9.56,"10,18",10.36,"11,21","12,13",,
45,"11,29",10.55,"10,18","10,08",9.45,"9,29","9,14",8.59,8.51,8.42,8.38,"8,31","8,29","8,27",9.53,"10,14",10.32,"11,16","12,07",,
46,"11,22",10.49,"10,13","10,03",9.41,"9,25","9,1",8.55,8.47,8.38,8.32,"8,27","8,25","8,23",9.49,"10,1","10,29","11,11","12,02",,
47,"11,16",10.43,"10,08",9.58,9.36,"9,2","9,05",8.51,8.42,8.34,"8,29","8,23","8,22","8,2",9.45,"10,08","10,26","11,07",11.56,,
48,"11,1",10.37,"10,03",9.53,9.31,"9,16","9,01",8.47,8.38,"8,31","8,25","8,2","8,18","8,17",9.43,"10,05","10,22","11,02",11.49,,
