,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,3,5,10,14,16,18,20,22,25,28,31,33,35,37,39,41,43,21,17,14,8,4,3,1
2,5,9,14,18,20,22,24,26,28,30,33,37,39,41,44,46,48,23,19,16,10,5,4,2
3,7,13,18,22,24,26,28,32,36,38,40,42,44,48,50,52,56,25,21,18,12,6,5,3
4,9,17,22,26,28,30,32,38,40,42,44,46,48,56,58,60,62,27,23,20,14,7,6,4
5,11,21,26,30,32,34,36,42,44,46,48,50,52,61,63,65,67,29,25,22,16,9,7,5
6,13,25,30,34,36,38,40,44,46,48,52,54,56,66,70,72,74,31,27,24,18,11,8,6
7,15,29,34,38,40,42,44,50,52,54,56,58,60,70,76,78,80,33,29,26,20,13,9,7
8,17,33,38,40,44,46,48,54,56,58,60,62,65,74,84,86,88,35,31,28,22,15,10,8
9,20,37,42,44,48,50,52,56,58,60,64,66,70,78,86,88,90,37,33,30,24,17,11,9
10,23,41,46,50,52,54,56,60,64,66,68,71,75,82,90,92,94,39,35,32,26,19,12,10
11,26,45,50,54,56,58,60,64,70,72,74,76,80,86,94,96,98,41,37,34,28,21,13,11
12,29,49,54,58,60,62,64,68,74,76,78,81,85,90,97,99,101,43,39,36,30,23,14,12
13,32,53,58,62,64,66,69,73,78,81,83,86,90,94,99,102,104,45,41,38,32,25,15,13
14,35,57,62,66,68,70,74,79,82,86,89,92,95,98,101,104,107,47,43,40,34,27,16,14
15,,,,,,,,,,,,,,,,,,49,45,43,36,29,17,15
